20903918112,438330
20903919012,546923
20903920013,522795
20903921015,1045456
20903922016,522940
20903923017,522940
20903924018,537296
20903925019,522795
20903926010,1045456
20903927011,1060223
20903928012,522940
20903929013,522940
20903930015,522940
20903931016,522940
20903932017,1045456
20903933119,624590
20903934019,537296
20903935010,522940
20903936011,1045456
20903937012,522940
20903938013,515789
20903939015,522940
20903940016,522940
20903941017,522940
20903942018,1060091
20903943019,528948
20903944010,522940
20903945011,522940
20903946012,1093544
20903947013,540784
20903948015,537296
20903949016,491681
20903951018,548546
20903952019,522940
20903953010,537296
20903954011,522940
20903955012,537296
20903956013,522940
20903957015,537296
20903958117,709027
20903959017,522940
20903960018,522940
20903961019,551979
20903962010,496212
20903963011,552914
20903964012,522940
20903965013,1045590
20903966015,522795
20903967016,522940
20903968017,537296
20903976016,289975
20903978018,537296
20903979019,537296
20903981011,1141994
20903982113,1071041
20903983013,1045590
20903985117,1206898
20903986017,537296
20903988019,522940
20903989010,537296
20903991012,1045590
20903994016,537296
20903996018,522940
20903997019,522795
20903999011,522795
20904000012,1097302
20904001013,537296
20904002015,537296
20904003016,658910
20904004017,537296
20904006019,522940
20904008011,522940
20904011015,537296
20904012016,537296
20904014018,537747
20904015019,537296
20904016010,522795
20904017011,522940
20904018012,522940
20904019013,522795
20904020015,522940
20904021016,537296
20904022017,1045456
20904023018,537296
20904024019,611140
20904025010,522940
20904026011,522940
20904027012,499570
20904028013,1057658
20904029015,522940
20904030117,1021573
20904031017,1055590
20904033019,537296
20904034010,531045
20904036012,537296
20904039016,522940
20904041018,1060091
20904042019,537296
20904043010,522940
20904045012,685228
20904048016,522940
20904050018,522795
20904053011,577868
20904055013,522795
20904056015,658385
20904058017,500451
20904060019,522940
20904061010,1055590
20904063012,1045456
20904064013,522795
20904065015,522795
20904067017,288824
20904069019,522795
20904070010,549526
20904071112,660387
20904072012,522940
20904073013,998847
20904074015,1439189
20904075016,1045456
20904076017,496796
20904077018,522940
20904078019,522795
20904079010,544442
20904080011,561454
20904081012,522940
20904082013,538580
20904083015,522795
20904084016,1045456
20904085017,1045590
20904088010,1045456
20904090012,1027971
20904093016,562315
20904096019,1045456
20904099012,606192
20904102016,1045456
20904104018,517252
20904106010,2090912
20904109013,532795
20904112017,532795
20904115010,503517
20904117012,573650
20904121017,278824
20904124010,522940
20904127013,522795
20904130118,1039761
20904133010,522795
20904135012,535667
20904137015,549846
20904139017,1168052
20904142010,532795
20904146015,522795
20904148017,522795
20904151010,544435
20904153012,522795
20904157017,573650
20904160010,523919
20904163013,522795
20904164015,573650
20904166017,278821
20904169010,181478
20904170011,487297
20904172013,522940
20904174016,1129533
20904175017,291344
20904176018,1041287
20904177019,522795
20904178010,549526
20904179011,812375
20904181013,522940
20904183016,522940
20904184017,522795
20904185018,495186
20904187010,563296
20904190013,1231456
20904192016,522940
20904194018,522795
20904195019,532795
20904197011,1074368
20904201016,520028
20904204019,278824
20904207012,522795
20904210016,522795
